PRODUIT,CODE_MARQUE,NOM_MARQUE,CA_REF_NATIONALE,CA_NC_NATIONAL,CA_REF_CONNECT,CA_NC_CONNECT,DATE_DU_DERNIER_TARIF,NBR_MARQUES_REFERENTEES,NBR_OFFRES_HORS_OFFRES,TOUT_PARTOUT,MONTANT_OFFRE_100_957,MONTANT_OFFRE_200_957,MONTANT_OFFRE_300_957,MONTANT_OFFRE_100_612
1,6,Leclerc_electrique,750,443,311,371,2020-04-24 ,1,12,13,16,6,16,11
2,6,Leclerc_electrique,773,283,314,515,2018-09-23 ,9,4,13,2,4,5,13
3,7,Phillips_France,295,102,342,653,2015-11-11 ,4,9,13,18,3,1,3
4,2,LeGrand,731,499,734,991,2014-09-29 ,13,0,13,17,6,10,8
5,6,Leclerc_electrique,123,468,699,788,2012-01-20 ,8,5,13,17,18,16,7
6,7,Phillips_France,814,359,424,135,2014-11-23 ,11,2,13,17,7,15,14
7,7,Phillips_France,171,875,575,495,2013-03-27 ,3,10,13,17,7,11,11
8,6,Leclerc_electrique,537,415,749,485,2019-04-14 ,11,2,13,8,8,18,2
9,5,Marchais,114,649,967,330,2013-06-01 ,13,0,13,9,14,12,4
10,7,Phillips_France,829,979,427,330,2018-08-25 ,0,13,13,6,12,15,14
11,1,Schneider,192,523,862,505,2015-12-18 ,7,6,13,17,3,15,7
12,5,Marchais,782,762,285,248,2020-08-09 ,4,9,13,18,6,14,13
13,2,LeGrand,910,887,484,632,2012-04-06 ,6,7,13,8,7,4,7
14,2,LeGrand,744,135,951,323,2012-07-30 ,9,4,13,6,7,17,17
15,4,DistElectrique,831,463,164,132,2019-02-16 ,1,12,13,5,17,3,15
16,5,Marchais,609,392,578,913,2012-05-04 ,6,7,13,10,4,19,4
17,2,LeGrand,358,221,412,363,2017-10-28 ,0,13,13,10,11,13,6
18,6,Leclerc_electrique,929,993,761,840,2018-09-21 ,4,9,13,16,15,8,17
19,5,Marchais,656,224,256,474,2016-12-17 ,2,11,13,16,4,15,10
20,6,Leclerc_electrique,650,141,108,702,2014-11-21 ,3,10,13,4,14,7,17
21,7,Phillips_France,379,413,589,981,2018-12-02 ,4,9,13,18,1,7,18
22,2,LeGrand,407,496,922,422,2018-06-23 ,13,0,13,16,12,1,3
23,6,Leclerc_electrique,784,773,878,991,2015-08-07 ,1,12,13,10,9,11,8
24,3,Lejeune,314,695,585,259,2015-08-22 ,5,8,13,2,12,5,19
25,5,Marchais,996,165,993,917,2012-06-11 ,1,12,13,9,17,3,16
26,4,DistElectrique,293,511,457,729,2016-08-25 ,11,2,13,17,6,3,7
27,4,DistElectrique,688,564,191,596,2019-09-01 ,11,2,13,16,10,4,10
28,5,Marchais,675,111,298,454,2018-06-14 ,8,5,13,3,6,10,7
29,3,Lejeune,812,861,362,405,2015-11-07 ,12,1,13,5,5,12,12
30,7,Phillips_France,405,165,393,110,2019-10-27 ,0,13,13,19,15,18,2
31,3,Lejeune,800,505,844,794,2014-06-04 ,13,0,13,2,14,11,6
32,7,Phillips_France,837,562,619,722,2017-05-17 ,2,11,13,9,4,8,4
33,6,Leclerc_electrique,943,851,492,646,2017-10-03 ,12,1,13,6,8,2,5
34,4,DistElectrique,274,697,616,987,2020-11-12 ,7,6,13,6,19,11,9
35,3,Lejeune,330,346,530,444,2018-06-28 ,3,10,13,6,16,17,1
36,1,Schneider,154,339,445,619,2020-05-15 ,4,9,13,1,18,17,5
37,7,Phillips_France,833,427,376,783,2018-02-02 ,10,3,13,4,15,6,1
38,4,DistElectrique,161,765,299,363,2020-06-17 ,13,0,13,15,9,7,3
39,3,Lejeune,210,258,295,129,2020-01-21 ,6,7,13,2,12,4,19
40,4,DistElectrique,772,477,269,222,2013-06-05 ,10,3,13,1,9,14,2
41,2,LeGrand,521,911,196,164,2019-10-12 ,9,4,13,1,11,13,4
42,6,Leclerc_electrique,141,393,221,542,2014-05-18 ,12,1,13,1,11,14,8
43,4,DistElectrique,326,947,933,132,2012-03-30 ,2,11,13,9,6,14,18
44,3,Lejeune,194,655,429,395,2018-11-01 ,0,13,13,13,18,6,7
45,3,Lejeune,859,730,276,809,2016-05-05 ,10,3,13,16,12,8,12
